Transaction_ID,Customer_ID,Transaction_DateTime,Transaction_Amount,Merchant_Category,Transaction_Type,Customer_Age,Account_Tenure,Num_Transactions_Last_24H,Location_Match,Fraud
TXN0000039,1560,2025-01-20 04:00:00,137.45,Travel,Online,40.0,6.0,6.0,0,No
TXN0000040,1474,2025-01-06 17:00:00,1358.73,Healthcare,Online,25.0,2.0,6.0,1,No
TXN0000041,1058,2025-01-24 21:00:00,1032.89,,Online,35.0,,,1,No
TXN0000042,1510,2025-01-30 12:00:00,1556.38,Fashion,POS,29.0,6.0,,1,No
TXN0000043,1681,2025-01-24 18:00:00,1456.3,Fashion,Online,48.0,0.0,4.0,1,No
TXN0000044,1475,2025-01-12 00:00:00,851.85,Fashion,Online,31.0,9.0,6.0,1,Yes
TXN0000045,1699,2025-01-14 20:00:00,946.33,Grocery,ATM,51.0,0.0,7.0,1,No
TXN0000046,1975,2025-01-08 19:00:00,50.0,Fashion,Online,35.0,4.0,3.0,1,No
TXN0000047,1782,2025-01-03 14:00:00,1575.0,Fuel,Online,51.0,14.0,4.0,1,No
TXN0000048,1189,2025-01-12 14:00:00,1319.89,Grocery,Online,28.0,1.0,6.0,1,Yes
TXN0000049,1957,2025-01-23 13:00:00,1899.26,Healthcare,POS,58.0,8.0,1.0,1,No
TXN0000050,1686,2025-01-08 02:00:00,1000.3,Fashion,POS,29.0,14.0,7.0,1,No
TXN0000051,1957,2025-01-21 22:00:00,1657.17,Travel,Online,66.0,6.0,1.0,1,Yes
TXN0000052,1562,2025-01-23 04:00:00,665.04,Electronics,POS,32.0,3.0,9.0,1,No
TXN0000053,1875,2025-01-13 10:00:00,50.0,Healthcare,POS,48.0,3.0,9.0,1,No
TXN0000054,1566,2025-01-09 08:00:00,1152.74,Fuel,POS,66.0,1.0,,1,No
TXN0000055,1243,2025-01-06 14:00:00,916.66,Travel,Online,46.0,4.0,4.0,1,No
TXN0000056,1831,2025-01-12 07:00:00,674.59,Healthcare,Online,43.0,3.0,2.0,1,No
TXN0000057,1504,2025-01-23 06:00:00,1649.05,Fuel,POS,35.0,11.0,7.0,1,No
TXN0000058,1130,2025-01-19 09:00:00,1804.12,Fashion,POS,49.0,12.0,4.0,1,No
TXN0000059,1484,2025-01-04 14:00:00,1252.71,,POS,39.0,0.0,5.0,1,No
TXN0000060,1818,2025-01-02 06:00:00,1108.74,Healthcare,Online,55.0,11.0,1.0,1,No
TXN0000061,1646,2025-01-06 00:00:00,1231.35,Healthcare,Online,34.0,7.0,6.0,1,No
TXN0000062,1020,2025-01-03 20:00:00,873.54,Grocery,POS,40.0,2.0,7.0,1,Yes
TXN0000063,1840,2025-01-27 21:00:00,1481.3,Travel,POS,41.0,13.0,3.0,1,No
TXN0000064,1166,2025-01-21 15:00:00,430.31,Entertainment,Online,67.0,,2.0,1,No
TXN0000065,1273,2025-01-07 01:00:00,663.46,Fuel,Online,25.0,3.0,7.0,0,No
TXN0000066,1387,2025-01-14 20:00:00,804.37,,Online,58.0,,1.0,1,No
TXN0000067,1600,2025-01-21 00:00:00,1470.68,Electronics,POS,23.0,6.0,2.0,1,No
TXN0000068,1315,2025-01-11 22:00:00,1048.76,Fashion,POS,22.0,8.0,3.0,1,No
TXN0000069,1013,2025-01-13 04:00:00,1880.2,Fashion,POS,61.0,9.0,4.0,1,No
TXN0000070,1241,2025-01-18 20:00:00,,Grocery,POS,46.0,2.0,5.0,1,No
TXN0000071,1776,2025-01-04 13:00:00,799.45,Grocery,Online,45.0,0.0,4.0,1,No
TXN0000072,1345,2025-01-01 15:00:00,1516.73,Healthcare,POS,28.0,4.0,3.0,1,No
TXN0000073,1564,2025-01-27 03:00:00,995.9,Fashion,ATM,18.0,2.0,1.0,1,No
TXN0000074,1897,2025-01-05 21:00:00,1436.59,Travel,ATM,,5.0,7.0,1,No
TXN0000075,1339,2025-01-12 05:00:00,1625.89,Grocery,POS,36.0,7.0,6.0,1,No
TXN0000076,1091,2025-01-17 10:00:00,1757.36,Fuel,Online,26.0,10.0,2.0,1,No
TXN0000077,1366,2025-01-07 17:00:00,1301.01,Grocery,POS,44.0,12.0,2.0,1,No
TXN0000078,1955,2025-01-30 03:00:00,2000.06,Travel,POS,51.0,3.0,,1,No
TXN0000079,1454,2025-01-05 07:00:00,1420.66,Grocery,POS,61.0,4.0,8.0,1,No
TXN0000080,1427,2025-01-28 04:00:00,1267.53,Entertainment,Online,21.0,4.0,8.0,1,No
TXN0000081,1508,2025-01-07 22:00:00,1048.74,Travel,ATM,53.0,3.0,8.0,1,No
TXN0000082,1775,2025-01-13 11:00:00,884.35,Entertainment,Online,35.0,3.0,7.0,1,No
TXN0000083,1942,2025-01-02 03:00:00,1409.94,Entertainment,Online,32.0,3.0,2.0,1,Yes
TXN0000084,1034,2025-01-18 15:00:00,1250.38,Electronics,Online,68.0,3.0,1.0,1,No
TXN0000085,1205,2025-01-24 09:00:00,,Travel,POS,30.0,3.0,6.0,0,No
TXN0000086,1080,2025-01-07 11:00:00,1440.37,Electronics,Online,36.0,4.0,8.0,1,No
TXN0000087,1931,2025-01-14 11:00:00,1328.3,Fuel,Online,,1.0,1.0,0,No
TXN0000088,1561,2025-01-15 11:00:00,2206.65,Healthcare,POS,23.0,1.0,3.0,1,No
TXN0000089,1871,2025-01-06 00:00:00,936.02,Healthcare,POS,65.0,8.0,1.0,1,No
TXN0000090,1387,2025-01-28 03:00:00,1416.15,Entertainment,POS,29.0,,9.0,0,No
TXN0000091,1001,2025-01-22 23:00:00,1086.15,Grocery,Online,68.0,5.0,7.0,1,No
TXN0000092,1389,2025-01-24 08:00:00,50.0,Travel,POS,54.0,1.0,8.0,1,No
TXN0000093,1565,2025-01-07 19:00:00,1103.26,Grocery,Online,,4.0,9.0,1,No
TXN0000094,1105,2025-01-03 13:00:00,731.75,Travel,Online,40.0,3.0,3.0,1,No
TXN0000095,1771,2025-01-15 03:00:00,1166.59,Grocery,Online,43.0,11.0,2.0,1,No
TXN0000096,1821,2025-01-28 17:00:00,1186.8,Healthcare,POS,46.0,6.0,6.0,1,No
TXN0000097,1476,2025-01-13 23:00:00,1392.68,Fuel,Online,50.0,14.0,5.0,1,No
TXN0000098,1702,2025-01-16 15:00:00,934.91,Healthcare,Online,44.0,6.0,4.0,1,No
TXN0000099,1401,2025-01-15 09:00:00,997.45,Grocery,Online,42.0,12.0,6.0,1,No
TXN0000100,1729,2025-01-07 05:00:00,1550.35,Travel,Online,27.0,5.0,6.0,1,No
TXN0000101,1555,2025-01-25 08:00:00,795.47,Fashion,ATM,64.0,9.0,3.0,0,No
TXN0000102,1161,2025-01-25 04:00:00,280.77,Fuel,ATM,40.0,4.0,2.0,1,No
TXN0000103,1201,2025-01-08 08:00:00,1278.52,Travel,Online,38.0,,9.0,1,Yes
TXN0000104,1957,2025-01-15 17:00:00,1735.42,Grocery,Online,38.0,11.0,8.0,1,No
TXN0000105,1995,2025-01-22 09:00:00,1544.59,Travel,Online,60.0,14.0,4.0,1,No
TXN0000106,1269,2025-01-13 20:00:00,1287.74,Electronics,POS,30.0,2.0,6.0,1,No
TXN0000107,1862,2025-01-05 22:00:00,1825.32,Travel,Online,54.0,8.0,3.0,0,No
TXN0000108,1815,2025-01-22 14:00:00,1741.01,Healthcare,Online,50.0,14.0,8.0,1,No
TXN0000109,1270,2025-01-20 21:00:00,1034.54,Entertainment,POS,41.0,13.0,3.0,1,No
TXN0000110,1455,2025-01-18 05:00:00,1323.76,Healthcare,Online,61.0,0.0,2.0,0,No
TXN0000111,1461,2025-01-25 10:00:00,1345.23,Electronics,Online,28.0,4.0,7.0,0,No
TXN0000112,1726,2025-01-15 14:00:00,1156.62,Fuel,Online,34.0,1.0,3.0,1,No
TXN0000113,1251,2025-01-22 01:00:00,1767.12,Travel,Online,21.0,3.0,9.0,1,No
TXN0000114,1701,2025-01-09 02:00:00,1123.93,Fuel,POS,64.0,13.0,3.0,1,No
TXN0000115,1295,2025-01-08 18:00:00,949.86,Fashion,ATM,42.0,13.0,8.0,1,No
TXN0000116,1724,2025-01-19 17:00:00,50.0,Travel,Online,47.0,10.0,,1,No
TXN0000117,1719,2025-01-21 15:00:00,800.85,Healthcare,Online,26.0,,9.0,1,No
TXN0000118,1748,2025-01-22 10:00:00,542.29,Entertainment,ATM,38.0,2.0,1.0,1,No
TXN0000119,1337,2025-01-29 23:00:00,1179.8,Healthcare,POS,37.0,9.0,3.0,1,No
TXN0000120,1878,2025-01-12 08:00:00,573.16,Fuel,Online,36.0,6.0,2.0,1,Yes
TXN0000121,1052,2025-01-03 03:00:00,1504.34,Grocery,POS,36.0,9.0,7.0,0,No
TXN0000122,1791,2025-01-11 22:00:00,1754.22,Healthcare,Online,29.0,14.0,5.0,1,No
TXN0000123,1921,2025-01-16 07:00:00,1184.42,Grocery,POS,54.0,2.0,8.0,1,No
TXN0000124,1216,2025-01-06 12:00:00,707.99,Healthcare,ATM,59.0,3.0,2.0,1,No
TXN0000125,1763,2025-01-10 08:00:00,1343.2,Healthcare,POS,,1.0,8.0,1,No
TXN0000126,1187,2025-01-13 21:00:00,2146.74,Entertainment,Online,54.0,2.0,7.0,0,No
TXN0000127,1379,2025-01-24 20:00:00,1991.24,Fashion,Online,65.0,8.0,5.0,1,No
TXN0000128,1492,2025-01-01 15:00:00,496.96,Grocery,POS,56.0,2.0,2.0,1,No
TXN0000129,1040,2025-01-09 02:00:00,478.41,Grocery,POS,45.0,10.0,7.0,0,No
TXN0000130,1156,2025-01-19 10:00:00,350.23,Healthcare,POS,58.0,4.0,4.0,0,No
TXN0000131,1014,2025-01-13 14:00:00,631.51,Grocery,Online,52.0,1.0,4.0,1,No
TXN0000132,1812,2025-01-02 23:00:00,1325.8,Healthcare,POS,64.0,3.0,8.0,1,No
TXN0000133,1064,2025-01-06 00:00:00,921.65,Healthcare,POS,65.0,,6.0,1,No
TXN0000134,1856,2025-01-21 18:00:00,780.66,Fuel,Online,35.0,12.0,9.0,1,No
TXN0000135,1838,2025-01-24 09:00:00,1719.55,Travel,Online,31.0,6.0,2.0,0,No
TXN0000136,1520,2025-01-20 12:00:00,1465.05,Grocery,Online,52.0,13.0,5.0,1,No
TXN0000137,1343,2025-01-02 16:00:00,347.65,Entertainment,POS,61.0,6.0,6.0,1,No
TXN0000138,1128,2025-01-19 23:00:00,1690.86,Electronics,POS,58.0,11.0,8.0,1,No
TXN0000139,1647,2025-01-23 05:00:00,1453.02,Fuel,POS,24.0,2.0,4.0,1,No
TXN0000140,1471,2025-01-16 10:00:00,1464.13,,Online,58.0,4.0,7.0,1,No
TXN0000141,1062,2025-01-08 13:00:00,914.76,Entertainment,ATM,30.0,0.0,7.0,1,No
TXN0000142,1138,2025-01-22 12:00:00,1106.35,Grocery,POS,,9.0,4.0,1,No
TXN0000143,1498,2025-01-28 08:00:00,213.64,Fashion,Online,54.0,9.0,1.0,0,No
TXN0000144,1592,2025-01-25 13:00:00,1633.49,Electronics,Online,30.0,9.0,3.0,1,No
TXN0000145,1391,2025-01-10 14:00:00,700.54,Electronics,Online,53.0,10.0,2.0,1,No
TXN0000146,1674,2025-01-15 11:00:00,764.69,Entertainment,ATM,48.0,0.0,3.0,1,No
TXN0000147,1418,2025-01-20 22:00:00,757.93,Fashion,Online,19.0,4.0,5.0,1,No
TXN0000148,1288,2025-01-09 16:00:00,2100.2,Fashion,Online,33.0,12.0,1.0,1,No
TXN0000149,1378,2025-01-29 02:00:00,865.65,Grocery,Online,26.0,9.0,5.0,1,No
TXN0000150,1772,2025-01-29 07:00:00,1671.13,Travel,POS,26.0,8.0,2.0,1,No
TXN0000151,1489,2025-01-12 13:00:00,1188.0,Entertainment,Online,55.0,0.0,4.0,1,No
TXN0000152,1230,2025-01-29 15:00:00,785.45,Fashion,Online,28.0,0.0,6.0,1,No
TXN0000153,1040,2025-01-03 04:00:00,694.8,Electronics,Online,39.0,3.0,9.0,1,No
TXN0000154,1027,2025-01-01 09:00:00,885.57,Entertainment,Online,50.0,3.0,6.0,1,No
TXN0000155,1134,2025-01-28 09:00:00,1162.77,Electronics,Online,53.0,1.0,2.0,1,No
TXN0000156,1200,2025-01-20 07:00:00,1500.87,Grocery,POS,62.0,8.0,8.0,1,No
TXN0000157,1839,2025-01-25 06:00:00,964.5,Entertainment,POS,40.0,13.0,5.0,1,No
TXN0000158,1779,2025-01-07 13:00:00,945.79,Travel,POS,62.0,8.0,9.0,1,No
TXN0000159,1929,2025-01-01 18:00:00,759.42,Healthcare,POS,62.0,12.0,9.0,1,No
TXN0000160,1032,2025-01-03 06:00:00,602.98,Entertainment,Online,51.0,12.0,4.0,1,No
TXN0000161,1047,2025-01-31 00:00:00,561.15,Fashion,POS,26.0,1.0,1.0,1,No
TXN0000162,1502,2025-01-01 20:00:00,1694.01,Fashion,Online,41.0,13.0,9.0,1,No
TXN0000163,1406,2025-01-12 17:00:00,935.58,Grocery,Online,25.0,8.0,9.0,1,No
TXN0000164,1573,2025-01-23 11:00:00,979.86,Fuel,ATM,24.0,14.0,8.0,1,No
TXN0000165,1727,2025-01-18 08:00:00,,Fuel,POS,53.0,5.0,5.0,1,No
TXN0000166,1804,2025-01-12 20:00:00,1041.57,Travel,POS,35.0,7.0,5.0,1,No
TXN0000167,1098,2025-01-23 03:00:00,1385.54,Electronics,POS,20.0,9.0,6.0,1,No
TXN0000168,1683,2025-01-23 03:00:00,956.56,Electronics,ATM,45.0,12.0,1.0,1,No
TXN0000169,1871,2025-01-22 06:00:00,1290.37,Healthcare,POS,23.0,14.0,9.0,1,Yes
TXN0000170,1725,2025-01-17 11:00:00,1909.1,Electronics,POS,61.0,12.0,5.0,0,No
TXN0000171,1986,2025-01-05 23:00:00,790.17,Fuel,POS,61.0,3.0,7.0,1,No
TXN0000172,1546,2025-01-05 00:00:00,980.27,Fuel,Online,38.0,1.0,8.0,1,No
TXN0000173,1960,2025-01-05 23:00:00,1520.53,Fashion,Online,45.0,1.0,5.0,1,No
TXN0000174,1738,2025-01-23 08:00:00,1948.65,Healthcare,POS,57.0,,3.0,1,No
TXN0000175,1612,2025-01-07 08:00:00,,Travel,Online,18.0,0.0,6.0,1,No
TXN0000176,1942,2025-01-11 04:00:00,349.6,Healthcare,Online,53.0,11.0,7.0,1,No
TXN0000177,1461,2025-01-22 11:00:00,1199.7,Entertainment,Online,38.0,6.0,4.0,1,No
TXN0000178,1642,2025-01-17 08:00:00,1148.06,Travel,Online,60.0,10.0,9.0,1,No
TXN0000179,1768,2025-01-06 22:00:00,1550.08,Fuel,ATM,52.0,13.0,4.0,1,No
TXN0000180,1004,2025-01-21 23:00:00,1473.78,Electronics,POS,30.0,2.0,2.0,0,No
TXN0000181,1217,2025-01-10 03:00:00,,Grocery,POS,66.0,2.0,9.0,1,No
TXN0000182,1502,2025-01-07 15:00:00,1724.61,Healthcare,ATM,27.0,1.0,4.0,0,No
TXN0000183,1766,2025-01-04 03:00:00,859.49,Healthcare,ATM,61.0,13.0,4.0,1,No
TXN0000184,1397,2025-01-26 10:00:00,1305.79,Fashion,POS,64.0,9.0,1.0,1,No
TXN0000185,1870,2025-01-29 19:00:00,592.15,Fashion,ATM,27.0,5.0,2.0,0,No
TXN0000186,1794,2025-01-27 14:00:00,1178.94,Fuel,Online,63.0,12.0,3.0,1,No
TXN0000187,1392,2025-01-02 07:00:00,469.43,Travel,Online,30.0,9.0,7.0,1,No
TXN0000188,1206,2025-01-14 21:00:00,642.08,Grocery,Online,54.0,1.0,9.0,1,No
TXN0000189,1014,2025-01-22 20:00:00,2054.73,Entertainment,POS,55.0,9.0,5.0,1,No
TXN0000190,1857,2025-01-19 07:00:00,287.73,Fashion,POS,41.0,14.0,4.0,0,No
TXN0000191,1553,2025-01-15 15:00:00,1091.67,Fashion,POS,19.0,3.0,2.0,1,No
TXN0000192,1891,2025-01-15 02:00:00,1613.61,Electronics,POS,39.0,9.0,7.0,1,No
TXN0000193,1460,2025-01-17 15:00:00,2310.68,Electronics,Online,34.0,8.0,6.0,1,No
TXN0000194,1690,2025-01-17 11:00:00,1288.54,Fuel,Online,53.0,8.0,7.0,1,No
TXN0000195,1574,2025-01-09 09:00:00,1317.11,Fuel,POS,31.0,5.0,8.0,1,No
TXN0000196,1863,2025-01-23 01:00:00,1219.84,,Online,27.0,12.0,9.0,1,No
TXN0000197,1742,2025-01-04 20:00:00,1728.62,Travel,POS,52.0,,5.0,1,No
TXN0000198,1240,2025-01-15 21:00:00,1415.85,Entertainment,POS,42.0,6.0,5.0,1,No
TXN0000199,1563,2025-01-17 11:00:00,912.46,Grocery,POS,20.0,13.0,4.0,1,No
TXN0000200,1095,2025-01-03 11:00:00,1757.76,Fashion,Online,64.0,0.0,3.0,1,No
TXN0000201,1899,2025-01-20 20:00:00,968.9,Travel,POS,55.0,11.0,7.0,1,No
TXN0000202,1733,2025-01-26 11:00:00,400.75,,POS,34.0,3.0,5.0,1,No
TXN0000203,1484,2025-01-01 00:00:00,402.34,Fashion,ATM,29.0,4.0,7.0,1,No
TXN0000204,1406,2025-01-24 02:00:00,1099.47,Travel,POS,69.0,7.0,2.0,1,No
TXN0000205,1230,2025-01-13 22:00:00,1251.52,Healthcare,POS,41.0,11.0,9.0,1,No
TXN0000206,1748,2025-01-07 23:00:00,1677.81,Travel,Online,46.0,1.0,9.0,1,No
TXN0000207,1654,2025-01-08 23:00:00,1520.41,Fashion,POS,60.0,11.0,9.0,1,No
TXN0000208,1170,2025-01-02 09:00:00,1239.93,Travel,ATM,42.0,4.0,5.0,1,No
TXN0000209,1540,2025-01-02 09:00:00,1705.76,Entertainment,Online,53.0,5.0,9.0,1,No
TXN0000210,1035,2025-01-29 15:00:00,1206.37,Fashion,Online,43.0,4.0,1.0,1,No
TXN0000211,1524,2025-01-18 08:00:00,554.76,Electronics,Online,55.0,14.0,2.0,1,No
TXN0000212,1159,2025-01-30 11:00:00,445.77,Fashion,POS,18.0,12.0,5.0,0,No
TXN0000213,1838,2025-01-07 13:00:00,1839.34,Travel,Online,37.0,8.0,5.0,1,No
TXN0000214,1698,2025-01-21 19:00:00,77.39,Fashion,Online,45.0,9.0,6.0,0,No
TXN0000215,1242,2025-01-16 05:00:00,1099.63,Grocery,POS,33.0,0.0,8.0,1,No
TXN0000216,1085,2025-01-15 03:00:00,2690.9,Fashion,POS,64.0,13.0,1.0,1,No
TXN0000217,1795,2025-01-14 22:00:00,1429.62,Fashion,Online,34.0,2.0,9.0,1,No
TXN0000218,1577,2025-01-25 06:00:00,1095.73,Grocery,Online,57.0,13.0,4.0,1,No
TXN0000219,1681,2025-01-14 14:00:00,357.77,Grocery,Online,45.0,1.0,8.0,1,No
TXN0000220,1556,2025-01-05 17:00:00,2008.69,Grocery,Online,29.0,11.0,5.0,1,No
TXN0000221,1573,2025-01-18 09:00:00,1806.91,Fuel,Online,44.0,12.0,1.0,1,No
TXN0000222,1952,2025-01-20 11:00:00,1542.4,Healthcare,POS,59.0,2.0,9.0,1,No
TXN0000223,1645,2025-01-06 22:00:00,1199.72,Fuel,POS,64.0,9.0,8.0,1,No
TXN0000224,1795,2025-01-26 08:00:00,1486.01,Fashion,POS,47.0,8.0,5.0,1,No
TXN0000225,1027,2025-01-13 20:00:00,1125.69,Fuel,Online,58.0,12.0,4.0,1,No
TXN0000226,1619,2025-01-17 16:00:00,713.37,Fuel,POS,51.0,13.0,8.0,1,No
TXN0000227,1555,2025-01-14 07:00:00,1678.17,Grocery,POS,54.0,8.0,9.0,1,No
TXN0000228,1339,2025-01-09 19:00:00,1174.67,Grocery,Online,23.0,9.0,7.0,1,No
TXN0000229,1797,2025-01-14 04:00:00,1460.97,Electronics,Online,24.0,1.0,4.0,0,No
TXN0000230,1957,2025-01-08 16:00:00,1139.44,Fuel,POS,49.0,13.0,7.0,1,No
TXN0000231,1330,2025-01-09 12:00:00,1430.91,Healthcare,POS,49.0,2.0,6.0,1,No
TXN0000232,1639,2025-01-16 03:00:00,1192.75,Fashion,Online,42.0,13.0,3.0,1,No
TXN0000233,1505,2025-01-09 23:00:00,1153.73,Entertainment,POS,50.0,3.0,3.0,1,No
TXN0000234,1347,2025-01-11 05:00:00,1214.99,Entertainment,POS,24.0,,1.0,1,No
TXN0000235,1472,2025-01-10 22:00:00,2680.43,Travel,ATM,69.0,2.0,5.0,1,No
TXN0000236,1230,2025-01-17 06:00:00,1601.2,Healthcare,Online,29.0,12.0,8.0,0,No
TXN0000237,1189,2025-01-22 15:00:00,2493.03,Healthcare,POS,33.0,6.0,6.0,1,No
TXN0000238,1224,2025-01-25 13:00:00,1195.95,Electronics,Online,33.0,,8.0,1,No
TXN0000239,1384,2025-01-12 12:00:00,1045.47,Fashion,POS,60.0,2.0,7.0,0,No
TXN0000240,1376,2025-01-09 09:00:00,662.9,Fashion,POS,53.0,6.0,2.0,1,No
TXN0000241,1282,2025-01-09 21:00:00,2001.62,Grocery,Online,30.0,6.0,8.0,1,No
TXN0000242,1957,2025-01-26 05:00:00,747.41,Grocery,POS,,8.0,4.0,1,No
TXN0000243,1632,2025-01-20 21:00:00,2104.78,Healthcare,Online,53.0,1.0,5.0,1,No
TXN0000244,1627,2025-01-22 03:00:00,691.91,Electronics,POS,64.0,12.0,8.0,1,No
TXN0000245,1972,2025-01-04 02:00:00,1643.33,Fashion,Online,68.0,5.0,5.0,1,No
TXN0000246,1744,2025-01-28 20:00:00,404.5,Electronics,POS,26.0,8.0,5.0,1,No
TXN0000247,1258,2025-01-28 16:00:00,979.02,Travel,Online,49.0,11.0,6.0,1,No
TXN0000248,1358,2025-01-06 21:00:00,1211.04,Entertainment,POS,28.0,14.0,7.0,1,No
TXN0000249,1709,2025-01-25 13:00:00,901.25,Fashion,POS,25.0,11.0,9.0,1,No
TXN0000250,1455,2025-01-14 09:00:00,1115.34,Grocery,POS,50.0,14.0,7.0,1,No
TXN0000251,1410,2025-01-29 21:00:00,1117.73,Healthcare,Online,40.0,1.0,6.0,1,No
TXN0000252,1648,2025-01-20 04:00:00,1603.47,Electronics,POS,42.0,1.0,4.0,0,No
TXN0000253,1317,2025-01-30 10:00:00,156.62,Entertainment,Online,25.0,12.0,2.0,1,No
TXN0000254,1676,2025-01-28 21:00:00,,Entertainment,POS,62.0,13.0,9.0,1,Yes
TXN0000255,1224,2025-01-07 01:00:00,1827.32,Entertainment,POS,39.0,4.0,5.0,0,No
TXN0000256,1818,2025-01-03 05:00:00,1481.24,Grocery,POS,21.0,9.0,5.0,1,No
TXN0000257,1233,2025-01-15 19:00:00,,Healthcare,POS,57.0,9.0,3.0,0,No
TXN0000258,1683,2025-01-12 12:00:00,1579.39,Grocery,Online,20.0,11.0,3.0,1,No
TXN0000259,1663,2025-01-25 18:00:00,658.24,Fashion,POS,46.0,9.0,1.0,1,No
TXN0000260,1974,2025-01-17 15:00:00,1530.45,Electronics,Online,58.0,7.0,5.0,1,No
TXN0000261,1826,2025-01-28 19:00:00,1250.1,,ATM,46.0,,3.0,1,No
TXN0000262,1373,2025-01-22 11:00:00,2334.03,,POS,51.0,14.0,2.0,1,No
TXN0000263,1671,2025-01-21 18:00:00,1601.08,Entertainment,POS,51.0,8.0,9.0,1,No
TXN0000264,1607,2025-01-13 22:00:00,1461.68,Grocery,ATM,45.0,1.0,6.0,1,No
TXN0000265,1471,2025-01-12 06:00:00,1534.71,Fuel,Online,30.0,4.0,3.0,1,No
TXN0000266,1232,2025-01-24 23:00:00,1434.42,Electronics,ATM,32.0,13.0,7.0,1,No
TXN0000267,1691,2025-01-19 16:00:00,1420.9,Fashion,Online,40.0,6.0,9.0,1,No
TXN0000268,1112,2025-01-05 15:00:00,1066.85,Grocery,POS,61.0,14.0,9.0,1,Yes
